"COUNTRY","Country","SERIES","Series","PERIOD","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2000","2000","USD","US Dollar","0","Units",,,16657.8325971148,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2001","2001","USD","US Dollar","0","Units",,,16423.708421383,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2002","2002","USD","US Dollar","0","Units",,,16486.9084633115,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2003","2003","USD","US Dollar","0","Units",,,16665.7099480578,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2004","2004","USD","US Dollar","0","Units",,,17847.8365973443,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2005","2005","USD","US Dollar","0","Units",,,18627.8925263916,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2006","2006","USD","US Dollar","0","Units",,,18453.9170911059,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2007","2007","USD","US Dollar","0","Units",,,19501.1146522204,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2008","2008","USD","US Dollar","0","Units",,,19115.893249109,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2009","2009","USD","US Dollar","0","Units",,,20012.053704772,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2010","2010","USD","US Dollar","0","Units",,,20198.3013995107,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2011","2011","USD","US Dollar","0","Units",,,19694.6714604508,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2012","2012","USD","US Dollar","0","Units",,,19366.1805679405,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2013","2013","USD","US Dollar","0","Units",,,19268.1605700444,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2014","2014","USD","US Dollar","0","Units",,,19233.0521111625,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2015","2015","USD","US Dollar","0","Units",,,19288.9667904456,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2016","2016","USD","US Dollar","0","Units",,,20402.2412900168,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2017","2017","USD","US Dollar","0","Units",,,20555.2195944151,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2018","2018","USD","US Dollar","0","Units",,,21118.7377500087,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2019","2019","USD","US Dollar","0","Units",,,21469.9717036005,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2020","2020","USD","US Dollar","0","Units",,,22201.4985360599,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2021","2021","USD","US Dollar","0","Units",,,21904.7695711722,,
"IRL","Ireland","PPP","In 2022 constant prices at 2022 USD PPPs","A","Annual","2022","2022","USD","US Dollar","0","Units",,,20916.0341896713,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1963","1963","USD","US Dollar","0","Units",,,5951.14498936679,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1964","1964","USD","US Dollar","0","Units",,,5562.89650481724,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1965","1965","USD","US Dollar","0","Units",,,4913.60601337761,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1966","1966","USD","US Dollar","0","Units",,,5087.22217829892,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1967","1967","USD","US Dollar","0","Units",,,6302.30995904599,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1968","1968","USD","US Dollar","0","Units",,,6625.99685382767,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1969","1969","USD","US Dollar","0","Units",,,6890.88342033938,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1970","1970","USD","US Dollar","0","Units",,,7380.25938922761,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1971","1971","USD","US Dollar","0","Units",,,7792.79695922455,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1972","1972","USD","US Dollar","0","Units",,,8233.39693751782,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1973","1973","USD","US Dollar","0","Units",,,8735.54500576645,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1974","1974","USD","US Dollar","0","Units",,,9106.15949198228,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1975","1975","USD","US Dollar","0","Units",,,9630.95347041084,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1976","1976","USD","US Dollar","0","Units",,,10378.9698227481,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1977","1977","USD","US Dollar","0","Units",,,10865.0337814525,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1978","1978","USD","US Dollar","0","Units",,,11318.5119318621,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1979","1979","USD","US Dollar","0","Units",,,11446.7108576713,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1980","1980","USD","US Dollar","0","Units",,,11255.3573096793,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1981","1981","USD","US Dollar","0","Units",,,11179.8119369186,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1982","1982","USD","US Dollar","0","Units",,,11157.0925626893,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1983","1983","USD","US Dollar","0","Units",,,11247.2138028379,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1984","1984","USD","US Dollar","0","Units",,,10917.9363093996,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1985","1985","USD","US Dollar","0","Units",,,10735.3625100859,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1986","1986","USD","US Dollar","0","Units",,,10655.9660583478,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1987","1987","USD","US Dollar","0","Units",,,10631.6113312397,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1988","1988","USD","US Dollar","0","Units",,,10595.7848910412,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1989","1989","USD","US Dollar","0","Units",,,10516.7183508273,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1990","1990","USD","US Dollar","0","Units",,,10557.3038543694,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1991","1991","USD","US Dollar","0","Units",,,10611.5672104924,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1992","1992","USD","US Dollar","0","Units",,,10588.0859396578,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1993","1993","USD","US Dollar","0","Units",,,10530.2489338377,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1994","1994","USD","US Dollar","0","Units",,,10406.2590934632,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1995","1995","USD","US Dollar","0","Units",,,10291.2136883593,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1996","1996","USD","US Dollar","0","Units",,,10289.4077258559,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1997","1997","USD","US Dollar","0","Units",,,10356.3011059077,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1998","1998","USD","US Dollar","0","Units",,,10384.9628709422,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1999","1999","USD","US Dollar","0","Units",,,10333.992177552,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2000","2000","USD","US Dollar","0","Units",,,10194.3863865528,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,10041.4637020506,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,9939.49251020573,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,9842.6807470741,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,9749.25115108843,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,10279.4359709993,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,10701.9611336697,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,10983.5016698779,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,11097.1754159143,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,11574.3749981329,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,11539.1879460838,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,11324.822973534,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,11054.4177843661,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,10967.1523734801,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,10983.7504501272,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,11095.4380244088,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,11229.0395737967,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,11898.2846297045,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,12168.5788247882,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,14778.6978509564,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,15650.2482689569,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2021","2021","USD","US Dollar","0","Units",,,15180.6890446933,,
"ESP","Spain","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2022","2022","USD","US Dollar","0","Units",,,14742.6771016739,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1985","1985","USD","US Dollar","0","Units",,,25199.1969113009,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1986","1986","USD","US Dollar","0","Units",,,23694.1182792189,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1987","1987","USD","US Dollar","0","Units",,,23097.990374648,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1988","1988","USD","US Dollar","0","Units",,,22966.1757452173,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1989","1989","USD","US Dollar","0","Units",,,22808.8939770175,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1990","1990","USD","US Dollar","0","Units",,,22786.0485769195,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1991","1991","USD","US Dollar","0","Units",,,23769.3231417705,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1992","1992","USD","US Dollar","0","Units",,,24672.5912825949,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1993","1993","USD","US Dollar","0","Units",,,24524.1993376477,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1994","1994","USD","US Dollar","0","Units",,,24444.2036218018,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1995","1995","USD","US Dollar","0","Units",,,23928.1424371154,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1996","1996","USD","US Dollar","0","Units",,,23869.0010018075,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1997","1997","USD","US Dollar","0","Units",,,24456.0692054277,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1998","1998","USD","US Dollar","0","Units",,,25110.5437885463,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","1999","1999","USD","US Dollar","0","Units",,,25593.9876288289,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2000","2000","USD","US Dollar","0","Units",,,25401.2108180025,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2001","2001","USD","US Dollar","0","Units",,,25169.1131602848,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2002","2002","USD","US Dollar","0","Units",,,25417.0552992447,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2003","2003","USD","US Dollar","0","Units",,,25748.6975011691,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2004","2004","USD","US Dollar","0","Units",,,26200.622205924,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2005","2005","USD","US Dollar","0","Units",,,26413.069005032,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2006","2006","USD","US Dollar","0","Units",,,26008.7688474865,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2007","2007","USD","US Dollar","0","Units",,,26871.3441764864,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2008","2008","USD","US Dollar","0","Units",,,26400.7186609188,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2009","2009","USD","US Dollar","0","Units",,,26740.3487399537,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2010","2010","USD","US Dollar","0","Units",,,26605.9965346553,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2011","2011","USD","US Dollar","0","Units",,,26807.313462763,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2012","2012","USD","US Dollar","0","Units",,,27172.4171994228,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2013","2013","USD","US Dollar","0","Units",,,27252.9360597158,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2014","2014","USD","US Dollar","0","Units",,,27338.0593654063,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2015","2015","USD","US Dollar","0","Units",,,27671.529286252,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2016","2016","USD","US Dollar","0","Units",,,27992.2661990508,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2017","2017","USD","US Dollar","0","Units",,,28241.9407373565,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2018","2018","USD","US Dollar","0","Units",,,28654.4868295371,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2019","2019","USD","US Dollar","0","Units",,,29115.2759369002,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2020","2020","USD","US Dollar","0","Units",,,29555.2696766978,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2021","2021","USD","US Dollar","0","Units",,,29343.129343375,,
"AUS","Australia","EXR","In 2022 constant prices at 2022 USD exchange rates","A","Annual","2022","2022","USD","US Dollar","0","Units",,,28588.4921868064,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1986","1986","USD","US Dollar","0","Units",,,7.56998873025601,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1987","1987","USD","US Dollar","0","Units",,,7.56455049861494,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1988","1988","USD","US Dollar","0","Units",,,7.53094913281824,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1989","1989","USD","US Dollar","0","Units",,,7.45815301974149,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1990","1990","USD","US Dollar","0","Units",,,8.06088289852607,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1991","1991","USD","US Dollar","0","Units",,,8.09919997495461,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1992","1992","USD","US Dollar","0","Units",,,8.07783884304881,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1993","1993","USD","US Dollar","0","Units",,,8.04921050312657,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1994","1994","USD","US Dollar","0","Units",,,7.93993036649961,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1995","1995","USD","US Dollar","0","Units",,,7.88128803625226,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1996","1996","USD","US Dollar","0","Units",,,7.87018640066769,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1997","1997","USD","US Dollar","0","Units",,,7.92183457183728,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1998","1998","USD","US Dollar","0","Units",,,7.92921930655874,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","1999","1999","USD","US Dollar","0","Units",,,7.89685454249012,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2000","2000","USD","US Dollar","0","Units",,,7.80017353948006,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,7.68958834280552,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2002","2002","USD","US Dollar","0","Units",,,7.61583731294318,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2003","2003","USD","US Dollar","0","Units",,,7.54162905652213,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2004","2004","USD","US Dollar","0","Units",,,7.73622828376176,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2005","2005","USD","US Dollar","0","Units",,,8.08928628718201,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2006","2006","USD","US Dollar","0","Units",,,8.24328847763765,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2007","2007","USD","US Dollar","0","Units",,,8.47481680901755,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2008","2008","USD","US Dollar","0","Units",,,8.56195225587696,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2009","2009","USD","US Dollar","0","Units",,,8.93378633598075,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2010","2010","USD","US Dollar","0","Units",,,8.90145864690028,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2011","2011","USD","US Dollar","0","Units",,,8.73011423618818,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2012","2012","USD","US Dollar","0","Units",,,8.52166345536709,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2013","2013","USD","US Dollar","0","Units",,,8.45351511548505,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2014","2014","USD","US Dollar","0","Units",,,8.46630896452136,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2015","2015","USD","US Dollar","0","Units",,,8.55943233362088,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2016","2016","USD","US Dollar","0","Units",,,8.66122618592239,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2017","2017","USD","US Dollar","0","Units",,,9.17399852747802,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2018","2018","USD","US Dollar","0","Units",,,9.38117598835241,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2019","2019","USD","US Dollar","0","Units",,,11.3862329016416,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2020","2020","USD","US Dollar","0","Units",,,12.0721411526942,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2021","2021","USD","US Dollar","0","Units",,,11.7571544673001,,
"ESP","Spain","PPP","In 2022 constant prices at 2022 USD PPPs","H","Hourly","2022","2022","USD","US Dollar","0","Units",,,11.3552539104474,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1971","1971","USD","US Dollar","0","Units",,,0.841991239758722,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1972","1972","USD","US Dollar","0","Units",,,0.774319757298431,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1973","1973","USD","US Dollar","0","Units",,,0.876173970834942,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1974","1974","USD","US Dollar","0","Units",,,0.958007423779483,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1975","1975","USD","US Dollar","0","Units",,,0.997169487324743,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1976","1976","USD","US Dollar","0","Units",,,1.09659276787246,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1977","1977","USD","US Dollar","0","Units",,,1.01080221413566,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1978","1978","USD","US Dollar","0","Units",,,1.14463928279234,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1979","1979","USD","US Dollar","0","Units",,,0.996828355632799,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1980","1980","USD","US Dollar","0","Units",,,0.589564027743602,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1981","1981","USD","US Dollar","0","Units",,,0.671714251753254,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1982","1982","USD","US Dollar","0","Units",,,0.614355410523852,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1983","1983","USD","US Dollar","0","Units",,,0.757480562562448,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1984","1984","USD","US Dollar","0","Units",,,0.707197047997028,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1985","1985","USD","US Dollar","0","Units",,,0.624791510706401,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1986","1986","USD","US Dollar","0","Units",,,0.668520083268814,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1987","1987","USD","US Dollar","0","Units",,,0.672458642356621,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1988","1988","USD","US Dollar","0","Units",,,0.689755594660124,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1989","1989","USD","US Dollar","0","Units",,,0.705676485370181,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1990","1990","USD","US Dollar","0","Units",,,0.799487647048195,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1991","1991","USD","US Dollar","0","Units",,,0.912221140677377,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1992","1992","USD","US Dollar","0","Units",,,0.998595662601501,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1993","1993","USD","US Dollar","0","Units",,,1.05866746192277,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1994","1994","USD","US Dollar","0","Units",,,0.836038789779967,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1995","1995","USD","US Dollar","0","Units",,,0.810396064834862,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1996","1996","USD","US Dollar","0","Units",,,0.963927741964565,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1997","1997","USD","US Dollar","0","Units",,,1.06609901137056,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1998","1998","USD","US Dollar","0","Units",,,0.94964222005841,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","1999","1999","USD","US Dollar","0","Units",,,1.21765025070145,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","2000","2000","USD","US Dollar","0","Units",,,1.04663966431536,,
"TUR","Türkiye","EXR","In 2022 constant prices at 2022 USD exchange rates","H","Hourly","2001","2001","USD","US Dollar","0","Units",,,0.902620750720864,,
